Organization Name,Date you began work,Type,Status,City,Major,College,Degree,Major2,Date work ends,State,Zip+4,New Job Title
NYC Department of Education (DOE),9/11/2019,Client Service/Tech Support,Working,Queens,Computer Science,Brooklyn College,BS,Computer Science ,,New York,11375,Tech Support Intern
NYC Department of Education (DOE),9/3/2019,Client Service/Tech Support,Working,Manhattan,Computer Systems Technology,New York City College of Technology,BTECH,Computer Systems ,,New York,10002,Tech Support Intern
NYC Department of Education (DOE),9/3/2019,Client Service/Tech Support,Working,Queens,Computer Science,City College,BS,Computer Science ,,New York,11369,Tech Support Intern
NYC Department of Education (DOE),12/2/2019,Client Service/Tech Support,Working,Bronx,Computer Systems Technology,New York City College of Technology,BTECH,Computer Systems ,,New York,10460,DOE Tech Intern
NYC Department of Education (DOE),9/3/2019,Client Service/Tech Support,Working,Bronx,Computer Information Systems/Science,Bronx Community College,AAS,Computer Info Systems ,,New York,10453,Tech Support Intern
NYC Human Resources Administration (HRA),10/22/2019,Client Service/Tech Support,Working,Brooklyn,Mathematics,City College,BS,Applied Mathematics ,,New York,11208,IT Intern
NYC Human Resources Administration (HRA),2/25/2020,Client Service/Tech Support,Working,Manhattan,Film,City College,BA,Film,,New York,10027,Tech Support Intern
NYC Department of Education (DOE),2/25/2020,Client Service/Tech Support,Working,Queens,Computer Systems Technology,New York City College of Technology,BTECH,Computer Systems ,,New York,11417,Tech Support Intern
NYC Human Resources Administration (HRA),11/13/2019,Client Service/Tech Support,Working,Brooklyn,Computer Science,College of Staten Island,BS,Computer Science ,,New York,11208,Hasa Web & Tech Support
NYC Department of Education (DOE),2/25/2020,Client Service/Tech Support,Working,Bronx,Computer Engineering Technology,Bronx Community College,AAS,Cybersecurity and Networking,,New York,10452,Tech Support Intern
Civil Service Pathways Fellowship ,1/22/2019,Finance/Procurement ,Working,Queens,Accounting,Queens College,BA,Accounting ,,New York,11354,DEP - Bureau of Sustainability / Administration - Contract Services
NYC Department of Transportation (DOT),7/22/2019,Data/Digital Services,Working,Queens,Computer Science,Hunter College,BA,Computer Science ,,New York,11421,DOT - Executive Division/Performance Management
NYC Human Resources Administration (HRA),7/18/2019,Mobile Development/Support,Working,Brooklyn,Computer Science,Brooklyn College,BS,Computer Science ,,New York,11220,Mobile device support intern 
NYC Human Resources Administration (HRA),8/21/2017,Client Service/Tech Support,Working,Brooklyn,Computer Science,Brooklyn College,MA,Computer Science ,,New York,11204,Office of Planning and Performance Management Intern
NYC Department of Education (DOE),2/27/2020,Client Service/Tech Support,Working,Manhattan,Computer Engineering Technology,New York City College of Technology,BTECH,Computer Engineer Tech ,,New York,10001,Tech Support Intern
NYC Department of Education (DOE),7/5/2019,Client Service/Tech Support,Working,Bronx,Computer Information Systems/Science,Borough of Manhattan Community College,BTECH,Computer Systems ,,New York,10458,Assistive Technology Intern
NYC Department of Education (DOE),12/2/2019,Client Service/Tech Support,Working,Brooklyn,Computer Information Systems/Science,Brooklyn College,BS,Information Systems ,,New York,11218,DOE Tech Intern
NYC Department of Education (DOE),2/11/2019,Client Service/Tech Support,Employed,NA,Computer Science,Lehman College,BS,Computer Science ,,,,Field Tech Intern
NYC Department of Education (DOE),9/3/2019,Client Service/Tech Support,Working,Brooklyn,Computer Information Systems/Science,Baruch College,BBA,Computer Information Sys ,,New York,11211,Tech Support Intern
NYC Department of Education (DOE),7/8/2019,Client Service/Tech Support,Working,NA,"Computer Information Systems/Science, Computer Science",Brooklyn College,BA,Undeclared ,,,,Tech Support Intern
NYC Department of Education (DOE),2/25/2020,Client Service/Tech Support,Working,Queens,Computer Systems Technology,New York City College of Technology,BTECH,Computer Systems ,,New York,11106,Tech Support Intern
CUNY 311 Project,7/31/2017,Customer Service,Working,Manhattan,Communications,New York City College of Technology,AA,Communications,,New York,10027,Student Call Taker
NYC Department of Education (DOE),2/25/2020,Client Service/Tech Support,Working,Queens,Computer Engineering,City College,BE,Computer Engr ,,New York,11377,Tech Support Intern
NYC Taxi and Limousine Commission (TLC),10/8/2019,Client Service/Tech Support,Working,Queens,"Criminal Justice, Computer Science, Psychology",Queens College,BS,Computer Sci and Info Sec ,,New York,11365,Call Center Agent
NYC Department of Education (DOE),10/7/2019,Client Service/Tech Support,Working,Queens,Computer Systems Technology,New York City College of Technology,BTECH,Computer Systems ,,New York,11368,Tech Support Intern
NYC Department of Education (DOE),5/22/2019,Client Service/Tech Support,Working,Brooklyn,Computer Information Systems/Science,New York City College of Technology,BS,Information Systems ,,New York,11229,Assistive Technology Intern
NYC Department of Correction (DOC),7/22/2019,Finance/Procurement ,Working,Manhattan,Management,Medgar Evers College,BS,Business ,,New York,10029,DOC - Central Office of Procurement
NYC Department of Transportation (DOT),3/2/2015,Geographic Information Systems (GIS),,,,Hunter College,,,,,,
NYC Department of Transportation (DOT),8/3/2015,Geographic Information Systems (GIS),,Queens,,Baruch College,,,,,,
NYC Department of Transportation (DOT),8/24/2015,Geographic Information Systems (GIS),,,,City College,,,,,,
NYC Department of Transportation (DOT),9/28/2015,Geographic Information Systems (GIS),,Brooklyn,,New York City College of Technology,,,,,,
NYC Department of Transportation (DOT),9/28/2015,Geographic Information Systems (GIS),,Manhattan,,Hunter College,,,,,,
NYC Department of Transportation (DOT),9/28/2015,Geographic Information Systems (GIS),,Bronx,,City College,,,,,,
NYC Department of Transportation (DOT),11/30/2015,Geographic Information Systems (GIS),,Brooklyn,,Hunter College,,,,,,
NYC DoITT,4/18/2016,Geographic Information Systems (GIS),,Manhattan,,Hunter College,,,,,,
NYC DoITT,4/18/2016,Geographic Information Systems (GIS),,Queens,,City College,,,,,,
NYC Department of Citywide Administrative Services (DCAS),4/22/2020,Cybersecurity,Working,Queens,Cyber Security Analyst Intern,Baruch College,,,,,New York,
